family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
Amanita Family;Fly Agaric;p;[10, 20];[x, f];[g, h];[e, o];[f];[e];[w];[w];[15, 20];[15, 20];[s];[y];[w];[u];[w];[t];[g, p];[n];[d];[u, a, w]
Amanita Family;Panther Cap;p;[5, 10];[p, x];[g];[n];[f];[e];[w];[w];[6, 10];[10, 20];[s];[y];[w];[u];[w];[t];[p];[n];[d];[u, a]
Amanita Family;False Panther Cap;p;[10, 15];[x, f];[g];[g, n];[f];[e];[w];[w];[10, 12];[10, 20];[s];[y];[w];[u];[w];[t];[e, g];[n];[d];[u, a]
Amanita Family;The Blusher;e;[5, 15];[x, f];[g];[n];[t];[w];[w];[w];[7, 15];[10, 25];[b];[y];[w];[u];[w];[t];[g];[n];[d];[u, a]
Amanita Family;Death Cap;p;[5, 12];[x, f];[h];[r];[f];[w];[c];[w];[10, 12];[10, 20];[s];[y];[w];[u];[w];[t];[g, p];[n];[d];[u, a]
Amanita Family;False Death Cap;e;[4, 9];[x];[g];[w, y];[f];[e];[w];[w];[5, 7];[10, 15];[b];[y];[w, y];[u];[y, w];[t];[g];[n];[d];[u, a]
Amanita Family;Destroying Angel;p;[5, 10];[b];[t];[w];[f];[e];[c];[w];[10, 15];[10, 15];[s];[y];[w];[u];[w];[t];[l, e];[n];[d];[u, a]
Amanita Family;Tawny Grisette;e;[4, 8];[c, x];[h, t];[n];[f];[e];[w];[w];[10, 15];[10, 15];[s];[s];[w, n];[u];[w];[f];[f];[n];[d];[u, a]
Lepiota Family;Parasol Mushroom;e;[10, 25];[p, f];[y];[w, n];[f];[w];[w];[w];[15, 35];[15, 25];[s];[y];[n];[w];[n];[t];[m];[n];[m, d];[u, a]
Lepiota Family;Shaggy Parasol;e;[12, 18];[x];[e, y];[n];[t];[e];[w];[w];[8, 12];[15, 20];[s];[y];[w];[w];[n];[t];[p];[n];[g, d];[u, a]
Lepiota Family;Stinking Parasol;p;[2, 5];[b, f];[y];[e, n, p, w];[f];[e];[c];[n, w];[3, 6];[3, 4];[s];[k];[w];[w];[n];[t];[e];[n];[m, d];[u, a]
Tricholoma Family;Saffron Parasol;p;[2, 5];[x];[y];[y, n];[f];[a];[w];[w];[4, 7];[3, 4];[s];[y];[y, n];[w];[n];[t];[r];[n];[g, h, d];[u, a]
Tricholoma Family;The Deceiver;e;[1, 4];[f, s];[y];[n];[f];[a, d];[d];[p];[3, 10];[2, 5];[s];[i];[n];[w];[n];[f];[f];[n];[l, h];[u, a]
Tricholoma Family;Amethyst Deceiver;e;[1, 4];[x];[g];[b, u];[f];[w];[d];[u, w];[4, 8];[3, 6];[s];[y];[w];[w];[n];[f];[f];[n];[d];[u, a, w]
Tricholoma Family;Wood Blewit;e;[5, 15];[f, s];[g];[l, u, g, n];[f];[s];[c];[b, u];[5, 10];[15, 25];[s];[y];[b, u];[w];[n];[f];[f];[n];[l, d];[a, w]
Tricholoma Family;Field Blewit;e;[5, 12];[x, f, s];[g];[g, n];[f];[s];[c];[g, p];[4, 10];[15, 25];[b];[y];[u];[w];[n];[f];[f];[n];[g, d];[a, w]
Tricholoma Family;Clouded Agaric;e;[8, 20];[x, f, s];[e];[g, n];[f];[a, d];[c];[w];[5, 12];[20, 30];[s];[y];[w];[w];[n];[f];[f];[n];[l, d];[a, w]
Tricholoma Family;Club-footed Funnel Cap;p;[4, 8];[x, f];[g];[g, n];[f];[d];[c];[w, y];[4, 7];[10];[b];[y];[n];[w];[n];[f];[f];[n];[l, d];[a, w]
Tricholoma Family;Common Funnel Cap;e;[4, 8];[s];[g];[n];[f];[d];[c];[w];[3, 7];[6, 10];[s];[s];[w];[w];[n];[f];[f];[n];[l, d, h];[u, a]
Tricholoma Family;Aniseed Funnel Cap;e;[3, 6];[x];[g];[l, r, w];[f];[a, d];[w];[r];[4, 8];[5, 10];[s];[y];[l, r, w];[w];[n];[f];[f];[n];[l, d];[u, a]
Tricholoma Family;Ivory Clitocybe;p;[2, 4];[x, f, s];[s];[w, g];[f];[d];[c];[w];[2, 4];[5, 10];[s];[y];[w];[w];[n];[f];[f];[n];[g];[u, a]
Tricholoma Family;Wood Woolly-foot;p;[3, 6];[f];[l];[n, e, y];[f];[x];[d];[n, e, y];[4, 8];[4, 6];[s];[y];[n, y];[w];[n];[f];[f];[n];[l, d];[u, a]
