family;name;class;cap-diameter;cap-shape;Cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;Spore-print-color;habitat;season
amanita family;fly agaric;p;10, 20;[x, f];[g, h];[e, o];[f];[e];;[w];[15, 20];[15, 20];[s];[y];[w];[u];[w];;[g, p];;[d];[u, a, w]
amanita family;panther cap;p;5, 10;[p, x];[g];[n];[f];[e];;[w];[6, 10];[10, 20];;[y];[w];[u];[w];;[p];;[d];[u, a]
amanita family;false panther cap;p;10, 15;[x, f];;[g, n];[f];[e];;[w];[10, 12];[10, 20];;;[w];[u];[w];;[e, g];;[d];[u, a]
amanita family;false death cap;e;4, 9;[x];;[w, y];[f];[e];;[w];[5, 7];[10, 15];[b];;[w, y];[u];[y, w];;[g];;[d];[u, a]
amanita family;destroying angel;p;5, 10;[b];[t];[w];[f];[e];[c];[w];[10, 15];[10, 15];;[y];[w];[u];[w];;[l, e];;[d];[u, a]
amanita family;tawny grisette;e;4, 8;[c, x];[h, t];[n];[f];[e];;[w];[10, 15];[10, 15];;[s];[w, n];[u];[w];;[f];;[d];[u, a]
lepiota family;shaggy parasol;e;12, 18;[x];[e, y];[n];[t];[e];;[w];[8, 12];[15, 20];;;[w];;;;;;[g, d];[u, a]
lepiota family;stinking parasol;p;2, 5;[b, f];[y];[e, n, p, w];[f];[e];[c];[n, w];[3, 6];[3, 4];;[k];[w];;;;[e];;[m, d];[u, a]
tricholoma family;saffron parasol;p;2, 5;[x];[y];[y, n];[f];[a];;[w];[4, 7];[3, 4];;[y];[y, n];;;;[r];;[g, h, d];[u, a]
tricholoma family;the deceiver;e;1, 4;[f, s];[y];[n];[f];[a,d];[d];[p];[3, 10];[2, 5];;[i];[n];;;;[f];;[l, h];[u, a]
tricholoma family;wood blewit;e;5, 15;[f, s];;[l, u, g, n];[f];[s];[c];[b, u];[5, 10];[15, 25];;;[b, u];;;;[f];;[l, d];[a, w]
tricholoma family;field blewit;e;5, 12;[x, f, s];;[g, n];[f];[s];[c];[g, p];[4, 10];[15, 25];[b];;[u];;;;[f];;[g, d];[a, w]
tricholoma family;clouded agaric;e;8, 20;[x, f, s];[e];[g, n];[f];[a,d];[c];[w];[5, 12];[20, 30];[s];;[w];;;;[f];;[l, d];[a, w]
tricholoma family;club-footed funnel cap;p;4, 8;[x, f];;[g, n];[f];[d];[c];[w, y];[4, 7];[10];[b];;[n];;;;[f];;[l, d];[a, w]
tricholoma family;common funnel cap;e;4, 8;[s];;[n];[f];[d];[c];[w];[3, 7];[6, 10];;[s];[w];;;;[f];;[l, d, h];[u, a]
tricholoma family;aniseed funnel cap;e;3, 6;[x];;[l, r, w];[f];[a,d];;[r];[4, 8];[5, 10];;;[l, r, w];;;;[f];;[l, d];[u, a]
tricholoma family;ivory clitocybe;p;2, 4;[x, f, s];[s];[w, g];[f];[d];[c];[w];[2, 4];[5, 10];;;[w];;;;[f];;[g];[u, a]
tricholoma family;wood woolly-foot;p;3, 6;[f];[l];[n, e, y];[f];[x];[d];[n, e, y];[4, 8];[4, 6];;;[n, y];;;;[f];;[l, d];[u, a]
tricholoma family;russet tough shank;p;2, 5;[f];[d];[n, b];[f];[x];[c];[w, y];[3, 6];[2, 4];[b];[i, s];[n];;;;[f];;[l, d];[u, a]
tricholoma family;clustered tough shank;p;2, 5;[x, f];;[n, w];[f];[x];[c];[p];[6, 10];[3, 5];;;[n, p];;;;[f];;[l, d];[u, a]
tricholoma family;greasy tough shank;e;4, 8;[x, f];[s];[n, b];[f];[x];[c];[w];[5, 9];[10];;[s];[n];;;;[f];;[l];[a, w]
tricholoma family;spotted tough shank;p;6, 12;[x, f];;[w, n];[f];[x];[c];[w];[8, 12];[8, 15];[r];[i];[w];;;;[f];;[d, h];[u, a]
tricholoma family;fairy ring champignon;e;2, 5;[b];[g];[n ,w];[f];[x];[d];[w];[3, 6];[2, 4];;;[y];;;;[f];;[g];[u, a]
tricholoma family;little wheel fungus;p;0.7, 1.3;[x];[g];[w];[f];[a];[d];[w];[2, 4];[1, 2];;;[n, e];;;;[f];;[l, d];[u, a]
tricholoma family;horse-hair fungus;p;0.5, 1;[x];[g];[n, p, e];[f];[a];;[n, p];[3, 5];[1];;[s, h];[k];;;;[f];;[d];[s, u, a, w]
tricholoma family;bonnet bell cap;e;2, 6;[b, f];[g];[n, g];[f];[a];[d];[g];[3, 8];[2, 5];;[s];[n, g];;;;[f];;[d];[s, u, a, w]
